stop_id,stop_name,total_trips,total_flow,median_age,pop_density,percent_male,average_flow,,geometry
1,WASHINGTON ST OPP RUGGLES ST,1929,1283.7,36.1,10164.60001,0.415,0.665474339,,POINT (233895.54659999907 903014.9615000002)
2,WASHINGTON ST @ MELNEA CASS B,1789,901.3,36.1,10164.60001,0.415,0.503801006,,POINT (231934.28190000355 903019.7648000009)
3,WASHINGTON ST @ MELNEA CASS B,1417,2368.8,27.5,11506.30001,0.437,1.671700776,,POINT (236537.8796999976 903022.8427999988)
4,WASHINGTON ST @ LENOX ST,1651,3282,35.3,6483.90001,0.398,1.98788613,,POINT (227476.96130000055 903022.9037999995)
5,WASHINGTON ST @ MASSACHUSETTS,1651,4849.4,32.3,20195.39994,0.462,2.937250151,,POINT (227467.7655000016 903024.5625)
6,MELNEA CASS BLVD @ HARRISON A,1007,334.3,35.3,6483.90001,0.398,0.331976167,,POINT (222378.10429999977 903025.5300999992)
7,MELNEA CASS BLVD @ WASHINGTON,594,510.9,36.1,10164.60001,0.415,0.86010101,,POINT (222407.11420000345 903031.1184)
8,MASSACHUSETTS AVE @ ISLAND ST,509,497.3,36,2270,0.609,0.977013752,,POINT (238411.96310000122 903033.3148999996)
10,THEO GLYNN WAY @ NEWMARKET SQ,520,140.3,36,2270,0.609,0.269807692,,POINT (233910.4428000003 903034.4142999984)
11,MELNEA CASS BLVD OPP KERR WAY,693,345.3,27.5,11506.30001,0.437,0.498268398,,POINT (238418.72410000116 903036.8418000005)
13,ANDREW STATION BUSWAY,2538,21291.8,30.6,3582.000003,0.539,8.389204098,,POINT (232528.76609999686 903039.6658000015)
14,DORCHESTER ST @ DORCHESTER AV,261,355,30.6,3582.000003,0.539,1.360153257,,POINT (236497.93050000072 903040.6600000001)
15,DORCHESTER ST @ VINTON ST,261,133.8,30.6,3582.000003,0.539,0.512643678,,POINT (232522.3150999993 903046.0007000007)
16,DORCHESTER ST @ OLD COLONY AV,261,365.5,29.8,12917.09999,0.488,1.400383142,,POINT (222521.0425999984 903048.0780000016)
17,DORCHESTER ST @ E 8TH ST,261,168,29.8,12917.09999,0.488,0.643678161,,POINT (237953.71890000254 903049.0548)
18,180 DORCHESTER ST OPP W 7TH S,549,229.6,30.2,17941.69996,0.523,0.418214936,,POINT (236970.71570000052 903052.8005999997)
19,DORCHESTER ST @ OLD HARBOR ST,261,138.2,30.2,17941.69996,0.523,0.529501916,,POINT (222556.7206000015 903053.5705000013)
20,DORCHESTER ST @ E BROADWAY,261,384.5,29.9,11222.7,0.45,1.473180077,,POINT (223018.26319999993 903054.1843999997)
21,E BROADWAY @ G ST,787,1282.4,30.8,13657.50001,0.517,1.629479034,,POINT (237959.36129999906 903064.4952000007)
22,E BROADWAY @ H ST,787,798,30.8,13657.50001,0.517,1.013977128,,POINT (221766.625 903065.0628000014)
23,E BROADWAY @ I ST,787,945.4,30.2,14676.00002,0.468,1.201270648,,POINT (222979.80659999698 903067.4074999988)
24,E BROADWAY @ K ST,787,1559.2,31.8,10289.60001,0.5,1.981194409,,POINT (243293.70920000225 903069.6281999983)
25,E BROADWAY @ L ST,687,1448.1,31.8,10289.60001,0.5,2.107860262,,POINT (242464.8281000033 903070.5626999997)
27,E BROADWAY @ N ST,943,1928.1,30.4,14509.50002,0.488,2.044644751,,POINT (233223.60360000283 903072.4646999985)
28,E BROADWAY @ O ST,943,834.7,30.4,13311.49998,0.464,0.885153765,,POINT (221673.81689999998 903080.9270000011)
29,E BROADWAY @ P ST,943,997.7,30.4,13311.49998,0.464,1.058006363,,POINT (227214.8747999966 903082.0001999997)
30,E BROADWAY @ FARRAGUT RD,943,325.9,30.4,13311.49998,0.464,0.345599152,,POINT (232155.072800003 903083.8794)
32,FARRAGUT RD OPP E 2ND ST,1231,204.3,30.9,12180.49995,0.471,0.165962632,,POINT (233776.75299999863 903085.4877999984)
34,P ST @ E 2ND ST,1372,500.7,30.9,12180.49995,0.471,0.364941691,,POINT (221775.4746999964 903087.5581)
35,P ST @ E BROADWAY,1372,1774.7,30.9,12180.49995,0.471,1.29351312,,POINT (232174.62330000103 903089.4237000011)
41,E BROADWAY @ L ST,803,1622.4,31.8,10289.60001,0.5,2.020423412,,POINT (231290.124499999 903098.5623999983)
42,E BROADWAY @ K ST,803,1428.1,31.8,10289.60001,0.5,1.778455791,,POINT (233748.8125 903102.5001999997)
43,E BROADWAY @ I ST,803,1131.3,30.2,14676.00002,0.468,1.408841843,,POINT (231279.1777999997 903103.2580999993)
44,E BROADWAY @ H ST,803,846.1,30.8,13657.50001,0.517,1.053673724,,POINT (231254.59329999983 903104.0465999991)
45,E BROADWAY @ G ST,803,1130.2,30.8,13657.50001,0.517,1.40747198,,POINT (238559.4904000014 903110.2780000009)
46,DORCHESTER ST @ BROADWAY,262,352.1,29.9,11222.7,0.45,1.34389313,,POINT (233275.8498999998 903111.3962000012)
47,DORCHESTER ST @ W 5TH ST,262,96.4,30.2,17941.69996,0.523,0.367938931,,POINT (236332.59269999713 903115.8500999995)
48,DORCHESTER ST @ W 6TH ST,262,107.8,29.9,11222.7,0.45,0.411450382,,POINT (243232.1323999986 903122.1893999986)
49,DORCHESTER ST @ W 8TH ST,262,262.8,29.8,12917.09999,0.488,1.003053435,,POINT (233280.92180000246 903127.1878000014)
50,DORCHESTER ST @ OLD COLONY AV,262,255.6,29.8,12917.09999,0.488,0.975572519,,POINT (238594.54869999737 903128.4233000018)
51,DORCHESTER ST @ MIDDLE ST,262,116.9,30.6,3582.000003,0.539,0.446183206,,POINT (243269.71899999678 903137.305399999)
52,DORCHESTER ST @ DORCHESTER AV,262,313.7,30.6,3582.000003,0.539,1.197328244,,POINT (238113.67090000212 903139.8757000007)
55,WASHINGTON ST @ MASSACHUSETTS,1411,4405.1,32.3,20195.39994,0.462,3.121970234,,POINT (221208.90730000287 903145.1402000003)
57,MASSACHUSETTS AVE @ ALBANY ST,670,4486.1,39.2,16190.19992,0.5,6.695671642,,POINT (227124.46440000087 903146.4158000015)
58,MASSACHUSETTS AVE @ HARRISON,670,3217.6,33.9,9442.299993,0.521,4.80238806,,POINT (238131.00450000167 903148.5139000006)
59,MASSACHUSETTS AVE @ WASHINGTO,644,1781.2,39.2,16190.19992,0.5,2.765838509,,POINT (236256.99639999866 903150.3372999988)
60,WASHINGTON ST @ LENOX ST,1411,3142.6,35.3,6483.90001,0.398,2.227214741,,POINT (229068.20889999717 903150.6345000006)
61,WASHINGTON ST @ MELNEA CASS B,1411,2942,36.1,10164.60001,0.415,2.085046067,,POINT (230991.09350000322 903156.5628000014)
62,WASHINGTON ST @ WILLIAMS ST,1197,883.8,35.3,6483.90001,0.398,0.738345865,,POINT (232405.38889999688 903158.1490999982)
63,WASHINGTON ST @ RUGGLES ST,1197,636,36.1,10164.60001,0.415,0.531328321,,POINT (235600.0503000021 903158.7529999986)
64,NUBIAN STATION,5401,60282.5,41.8,4854.400016,0.52,11.16135901,,POINT (233625.85710000247 903160.8002999984)
